,finale,sentiment
0,mending beli banyak buku punya rak buku beli rak buku buku nya dikit,C
1,mana cocok tonton sama pacar saran movie romance manis ga too much terus lucu gituu makasiii tco ltnfomz,C
2,saran kado ultah buat ayah dong benda makan jangan manis tia,C
3,bantu pilihin dong mending ngecat kamar pasang wallpaper lihat segi budget keriwehan thank u,C
4,nanya dong kalian kalo ngetweet rant nyambat gitu mutual reply dibales ga trus kalo ngereply kamu bales jujur kaya gapapa aku bingung soal aku ga harap sambat reply sama moots ga enak kalo ga dibales,C
5,gak garam mau nanya aku liat yt pl prem an kok luar jadi an bawah gitu yaa aman ga yaa tia,C
6,guys mending co skinker skg karna payday apa tunggu diskon bnyk mana guys,C
7,kalau kuis terus sempat kali nah kira ambil nilai paling tinggi rata yaa sender mo ngulang cuma gatau salah takut ulang malah nambah kecil,C
8,ngecrushin org krnh formalitas nggk ap ap kan takut tmn sender mikirnya sender cmn cwo fiksi ama cwo kpop doang pdhl mah iyaa t i t i p a n,C
9,aku baru mau alih korean skincare kalian mending nyoba set cosrx thank u tco,C
10,charger kalau dipake jadi rusak ga sih rumah semua hp pake chargeran aku soal mau blg ga sangka pelit ntar serba salah,C
11,aku kan punya banyak file drakor laptop terus aku hapusin waktu recycle bin aku hapus permanen niat storage laptop aku balik mula sblm ak download drakornya kok ga pengaruh storage aku tetep stuck angka aja cont,C
12,cw luka merah merah guys mau tanyaa orang kena asam urat tuh kalo kambuh kaki sampe merah gosong gitu bokap ku asam urat tiap kambuh selalu merah gitu kaki skrng tuh merah nya bener merah bahkan betis depan sampe cont,C
13,kayak gosong gitu udh hari ga kunjung ilang merah padahal biasa hari udah ilang gapapa kan tahap wajar kan,C
14,mau tanya gais suhu badan normal ngga,C
15,kalau puasa terus bersihin gigi pake lidah bikin batal gak aku gak sadar bersihin baru mikir batal apa nda gitu,C
16,guys mau nanya kalo pake pln pascabayar arti pakai bulan september aku lunasin bayar bulan oktober kan erti bener gak,C
17,cw kulit muka kulit wajah kulit terlupas kelupas aku rutin pake skinker baru nyoba sih pemakain minggu kulit muka ku jd kelupas gin wajar ga si ga gatel efek sih atau krn cocok makasih https tco myazel,C
18,tw mentioning sexual harassment leceh seksual seriously asking cewek kalau rumah sendiri pake kaos lengan pendek celana paha boxer celana pendek hotpants gak salah kan wajar kan kalau misal pas pake pakai kayak gitu terus cont,C
19,jadi leceh bukan salah pakai kan apa kalau teras rumah ganti pakai tutup dulu,C
20,maen game landlord sim gak mau nnya dong pls ak bingung bgt bangun belah mana mau bikin tp bingung lahan nyaa ga tanda tco opix,C
21,kalian pihak pro kontra kalo anak ngelakuin salah orang tua hukum cara henti uang saku nya,C
22,guysss sorry mau nanya karna ga nemu jawab battery health aku ngurangin dlm waktu bulan aman ga sih emg cuma ngurangin cuma efek emg jd boros bgt sih jadi batrenyaa,C
23,guys mau tanyaa jadi laptop microsoft hilang kalo diinstal ulang kang service ngga microsoft,C
24,guys aku kan barang track order apknya tuh stuck jakarta doang tgl pas chat j n t nya paket aku malah bolak balik gin gimana butuh bgt barang tco,C
25,sorry gais mau nanya detail activity gdrive tuh gabisa hapus gaenak bgt liat nama aku ngespam gitu sana di liat sama orang gak si plis kalo malu bgt,C
26,memori hp aku penuh bangettt kdang sampe tinggal mending filenya pindah gdrive apa laptop,C
27,kalau peluang diizinin nonton konser ga diizinin n diceramahin abcdxyz mending ttp nyoba izin yaudah terima ga usah nonton tp pgn nonton all akomodasitiket pake uang sendiri jgn saranin ga usah izin soal ak dr luar jkt takud knp,C
28,sender mau ajak tabib dipijet biar mata sender ga minus kira sender hrs stuju engga,C
29,saran merk powerbank oke buat konser dong sama klo kapasitas biasa berat bgt ga hpku ip makasih udah saranin,C
30,iphone pro max or iphone,C
31,kalian kalau makan rambut nenen tim mana a kerupuk doang b gula doang c kerupuk gula mkan bareng d kerupuk gula pisah e jawab tco iaqtqjircf,C
32,aku lg mau bellli ip second enak nanya aku bingung,C
33,guys kalian paket ind sat tuh kalau bel paket murah tuh mana sender ken beli cuman gb hari ga nya hari tia,C
34,makan mie yes no,C
35,guysss jadi mata minus silinder kanan kiri ga terlalu ganggu sebenernya lebih baik pake kacamata apa ngga,C
36,mending mana guys klo punya revi dong tco udjvuoqw,C
37,haloo temen temen sini make in ear monitor gak rekomendasi sama reviewnya terima kasih,C
38,baik waktu baterai sisa berapa persen jaga baterai health hp,C
39,buka rek baru bc expresi ngga buku tabung worth it ngga,C
40,aku baru pertama kali belanja socolla jadi gatau barang nya otw klik konfirmasi pesan klik nya pas barang nya udah tco,C
41,aku jadi sie acara buat bikin yearbook mending ambil rundown apa tema terus,C
42,wanita muslim kalau lelaki datang rumah ngajak kalian mau gak posisi kalian single kalo mau apa buat kalian mau,C
43,kalian kalo nawar gin gimana wajar ngga btw tco lkar,C
44,enak gmn klo ganti apk tu kesan rugi bgt aku soal gapernah makek tco,C
45,mau nanya kalo biaya cek sehat rs tuh brp ken nyoba periksa dulu pernah bikin surat sehat rs screening kata gejala aritmia ken coba cek takut mahal,C
46,ig udah aman bom yak,C
47,kira kalo mau pisah mana minum mana minum malem tco omb,C
48,tidur pake headset takut budeg,C
49,kalian kalo aku kasih hadiah korek cowoku gpp malah lihat dukung ngeroko pinjem korek temennya buat ngeroko aku tadi nemu korek lucu niat mau kasih biar ga minjem minjem wdyt,C
50,guys help dong mau jual barang mending lz sp or tp gampang,C
51,sender kelas sma sekarang jurus ipa sebenernya terus mau masuk psikologi saranin sender ga sender apa mungkin ajar kayak gimana kalo kalo linjur gitu,C
52,misal instagram privateterus nge tag orang instastory sana ga nge follback bisa nge liat ga yah,C
53,buat xl mau tnya dong sender kuota data tp pas liat ada harga murah kalo sender beli paket data data belum bakal ilang ga tco,C
54,guys pernah beli ngl link prem gak ditampilin username nya tipe hp nya doang yah valid gak data,C
55,tanya dong emang twitt update jelek se mau update takut jelek bgt kalo ga update ga login baru,C
56,guys kan mastip nya kurang bulan kalau misal beli kuota buat bulan gak sih nambah mastip beli pulsa dulu btw kartu xl tco qqvjm,C
57,buka ig skrg aman ga sih sender blm buka ig semalem mau buka takut ilang huhuu,C
58,guys udah aman kalo buka ig,C
59,i g udah aman mau buka tp takut,C
60,kurang rangin deh share base isi aplikasi belah sw temen orang dekat kalau izin cf instagram buat nyari temen julid base,C
61,halo pejuanguny gimana nih siap buat masuk uny hmmm aku sih yakin kamu udah ajar biar nama jadi salah satu nama dapet kata umum snbp snbt sm tetap semangat giat ajar tco qlycu,E
62,halo ming barang kali mau baca au drpn rem tco xyrzsrfxfp,E
63,vit sini halo pieee,E
64,halo hyung bonbon tco yonronrxoa,E
65,halo sender izin aju diri betul rasa cocok kriteria kamu cari punya m rk he seung side face claim worry not confident about my ability to potray them tipe pacar bubbly talkative playful,E
66,halo bencana bot lapor dampak gempa sila balas gempa tco bhue,E
67,halo kak mamen kak temenna ngebully ak terus tco,E
68,halo nder sila,E
69,halo semua aku kangenkesiniiwh,E
70,aw kaget halo meng,E
71,halo tidak tambah nomor anggota kuota akrab padahal kuota susah masuk tdk sesuai kuota tera kurang tco ckizsskhos,E
72,halo mayy dah males main twt aku hiks,E
73,gundul halo dek,E
74,ic halo yg mau jajan warunganime warunghq warunghaikyuu tco,E
75,posisi jejer ro cacing nk wes munggah tak halo singsemangat,E
76,kan ndek video klip e js double punch kui basement parkir to ahahaha cuman jokes btw dikomen sama sik featuring sama js lagu double punch nih halo,E
77,halo sender kalau memang mungkin nyangkut aja bukan arti kamu ga baik kurang ya jadi ga perlu bagai ayo semangat sampai woah akhir kaya gitu semangat sender,E
78,halo bias kamu siapa fromis,E
79,baik ulang halo lebih milih matcha ketimbang taro,E
80,halo gimanaa yaa,E
81,halo sedia jasa gestun spaylater krediv indodana gopaylater bisa langsung cair after co fastrespon langsung wa tera bio tco vshorkeshr tco rzaifzjo,E
82,halo mau jastip war tiket aurora bgt nih aku bantu langsung dm aja,E
83,halo mbak nana,E
84,halo ganteng tco,E
85,halo kakak baru rilis single temenan sekali join notre yu kak ct nya lucu semua jamin bikin kakak nyaman tco tco ffbkh,E
86,piksen ijo apa abu bebas sing penting halo dek,E
87,halo tania aku videographer jkt silah lihat tco budget diobrolin hehe,E
88,malem minggu halo bulan,E
89,halo halo gimana hari bro cakra,E
90,cardigan rajut bujang nct halo gaes aku mau rekomendasiin cardigan rajut biar sama sama bujang nct shopeehaul cardigan shopeeaffiliate shopeehaul koreanstyle racunshopee racunshopeemurah zonauang butuhuang nct jaemin jeno jaehyun taeyong tco orot,E
91,halo kak cdm thank you,E
92,halo jisung,E
93,halo sayang tco,E
94,halo halo hai ga apdol rasa kalo gak miror selfie wc tco kkchljselx,E
95,halo bang,E
96,halo bencana bot lapor dampak gempa sila balas gempa tco ctczqzdrkf,E
97,halo gaes tau gak sih kalo bank bangga semua catat kerja gemilang loh keren banget yakan kinerjabriq,E
98,halo evan,E
99,halo sering interaksi maaf wkwk gua kasih ava biru,E
100,halo kak aku noleh ga titip mf zoofess,E
101,halo dek,E
102,halo mau ikut arisan get hari aku jelasin detail nya dm komen aja yaa zonajajan zonauang,E
103,halo min mau tanya klo purwokerto purbalingga naik terminal bulupitu ga naik halte seperti halte rajawali,E
104,halo kak jangan nyeret terimakasih matiin ritwit aku tco yzxktls,E
105,halo ka febii makas banyak atas baik yaa moga kamu selalu limpah rezeki kebahagian i hope christmas this year will be the best christmas for you sekali terimakasih ka forget to stay hydrated yaa tco,E
106,halo kak aku mau ngucapin makasih bnyak buat kaka tribune udh ngadain ga terima kasih mau bahagia buat temen carat smoga rezeki nya ngalir terus sehat selalu bahagia selalu moga kaka nya notice bias nya masing tco ajyj,E
107,halo kak aku open sharing gramdig fiksi fullprem asi lit sewa google play books lagi lohhh tco uvnlf,E
108,halo kak aku gak titip mf zoofess,E
109,halo kak aku open sharing gramdig fiksi fullprem asi lit sewa google play books lagi lohhh tco uvnlf,E
110,halo cuman fiksi abai typo timestamp btw kayak masuk short au soalmya hshshs enjoy,E
111,halo nero long time no see kamu apa kabar,E
112,cuaca ngga tanya apa kabar sudah tak dengar telinga baik baik masa lalu,E
113,kagok banget perform deketan sama pas kabar jin keluar group denger kabar sih krn tau pcrn tp gak bukti foto ato apa nes cuma edar knetz aja apa i wish the best for jinni,E
114,apa kabar,E
115,astaga apa kabar gue pas exo debut gue smp skrng umur udah empat abad,E
116,apa kabar ngatain ksj banci karna ga wamil,E
117,alhamdulillah kabar baaaik mei apa kabs nich,E
118,hi bang dragaz apa kabar,E
119,anak apa kabar sehat udah berapa lama nganggurnya saran usaha keren gaji tinggi masuk ga braw,E
120,ganteng apa kabar makan banyakkk,E
121,baru kli dibilangin cari cuan sini apa kabar sama grup ntah berapa kali sering kesini nonton video jangan goreng tco ylnwjmk,E
122,tinggal bias out grup udah tinggal bias nikah udah tinggal bias tinggal udah hati apa kabar wkwkwk moga sekarang baik baik aja,E
123,hihu hihu apa kabar gin dulu aja lah alon alon asal lakon yoi gitu aja thanks for reading see you on the next update tco wssu,E
124,hi bang jek apa kabar,E
125,miss u too bebi apa kabar,E
126,arti gilir inisiatif nanyain kabar gimana udah dapet baru apa balika ama lama,E
127,bang kaidan apa kabar,E
128,life apa kabar bandung hihi aku lega rasa nonton tangis air mata walaupun dikit gapapalah penting sekarang aku hehe mungkin ikhlas mungkin aku lebih rela tco ldr,E
129,apa kabar juniordanyw,E
130,iyanih fitur ig gue bales chatnya dosen gue bgst gue kira nanya gue apa kabar anjinggg,E
131,cakap remaja perempuan buah warung a gua th th b lah iya yah asa tua bgt gua gua apa kabar ajg kalo th asa tua,E
132,au si rifan apa kabar min,E
133,hari chat sok tanya kabar trs ujung bilang kalo diri sombong wkwkwk lucu bgt malah ngatain dahal apa sombong sy klo km muncul lg dengn chat gin tuh jd inget kelakuanmuu aku mau hps kontak jg ntar dulu deh kyknya blm waktu tepat,E
134,wkwkwk bul apa kabar dah move on blm,E
135,apa kabar kak juniordanyw,E
136,huni kapal bluesy apa kabar tco egtu,E
137,emang kenapeee malah lebih dr mau bilang rakus apa kabar,E
138,apa kabar notaris ppat iship taun ga gaji,E
139,haloo apa kabar,E
140,assalamualaikum lambung apa kabar sehat,E
141,hi bang gavin apa kabar,E
142,neira apa kabar,E
143,hello fems apa kabar moga sehat yaa fvlog udah tayang nih fems vlog kali bakal nunjukin seru lama short trip loh wah ngapain aja langsung cek link bio gais tco,E
144,chat aja hallo apa kabar inget gue gak kan pikir siapa tau hati paling rasa kangen buat ngobrol lg yaudah coba rekam lg wkwk,E
145,sepatu sekarang mahal sekali apa kabar tahun depan,E
146,hai hai malam apa kabar yorobun longtime no see karna bulan ga hts tco cwmb,E
147,hi pejoy apa kabar,E
148,apa kabar kata sahabat ninggalin sahabat sendiri,E
149,teh cancii apa kabar,E
150,halo apakabar pacar heesung,E
151,apa kabar aku kangen kayak hari kemaren engga ngobrol,E
152,haloo apa kabar,E
153,hybe segala aja ditawarin gidle lah apa cari talent sendiri napa dah do sm susah buat jadi soloist apa kabar svt hybe aja jauhh lebih susah susah solo tco sdlu,E
154,biyu apa kabar,E
155,unpad apa kabar,E
156,salam kenal apa kabar,E
157,apakabar,E
158,aku baik kamu apa kabar,E
159,uas mu apa kabar,E
160,makin cakep aja apa kabar a,E
161,aku bosen rs mulu,N
162,bumi bulat bumi datar bumi love aku cinta kamu tco uyhendl,N
163,aku cape tp gapapa ingat kata pak tri anak bangsa ayo sdikit uap tco,N
164,capek banget habis kemah wajah gosong ,N
165,aku punya mutual si paling gak ekspos rls gitu kyk selalu nyindir pacar gaperlu ekspos ss chat kek kek kalo punya prinsip sendiri gaperlu jatohin orang gitu gasih wdyt soal pacar ekspos tdk ekspos,N
166,pick your team emak emak hobi invest emas vs anak muda hobi ngonser tco,N
167,titip cw tiktok pagi allah tco qutnncv,N
168,cape ngemis perhati mulu ayo suruh sender mundur,N
169,ajar dasar teori zaman purba tco lykjnsrexn,N
170,aku simpen kontak udah tahun lebih awal minta dinamain kayak gitu sampe sekarang aku gatau nama asli siapa tco aju,N
171,heran dah orang buat baik malah kena suudzon terus bukti ga valid cuma dasar asumsi,N
172,gimana ottoke tco,N
173,mimpi abis tidur subuh random banget kalian gitu ga,N
174,sender cwek td malem prtama kali cobain vape pke vape temen trs sender jd pngen coba lg takut candu,N
175,sih pacar mantan selalu stalking mantan doi aku udah punya pacar aja tetap ganggu enak kalo stalking cuma sampe ig linkedin whatsapp facebook twitter bahkan sosmed pacar ku sampe cari tau teror buat ga ngedeketin pacar cont,N
176,aku gak ganggu hubung orang kok aku punya prinsip kalo orang dekat punya hubung pasang aku jaga jarak harga pasang aku tetap teman mantan sahabat sejak sd sekarang cont,N
177,udah usia tahun aku bilang pacar mantan aku stop stalking si cewe tetap stalking jujur aku kasihan sama mantan pacar tiap kali kumpul tongkrong adu circle pacar cuma cont,N
178,minta maaf,N
179,cowoku libur tco qkgy,N
180,ovthnkg sampe sakit perutt,N
181,kalian ga si ortu sering bilang gin kamu mah gausah mikirin uang ajar aja bener biar uang urus mama sama ayah tp gilir mau minta uang bilang boros banget padahal buat perlu alat kuliah tp ujung tetep kasih sih cont,N
182,diocehin gitu dulu bingung ngerasa gimana,N
183,jarak rumah kampus jam aku tinggal rumah sepupu aku aku laku bantu bahkan makan aku gaboleh bareng aku ga berani ngadu takut ortu aku sedih aku tau aku anak bidik misi anak pulung jujur aku sakit cont,N
184,hati laku buruk begini,N
185,cht sender waktu minta save crush titip tco ckqmiiofl,N
186,glowing apa minyak hehe,N
187,cw lgbtq bi banyak end up nikah sama lawan jenis karna mungkin pilih yg lebih masuk akal gak ngerepotin gak sih soal aku gitu kayak,N
188,baru tau kalo sahabat suka sama crush sahabat gatau kalo ngecrushin orang sama akhir tetep support hati hancur jadi,N
189,cara ngajak eh gamau ketemu gue dulu apa ntar bulan ga ketemu temen cowo crush cara lebih ga tara gimana help takut banget kangen ntar beda negaraaa,N
190,gaji bank datang bank pergi,N
191,guys jd kan blm lama kucing aku matiii trs aku nang terus kan dpn mama akutrs ngatain aku tibang kucing doang nangislebay trs aku ngambek marah sm hari aku gasuka dikatain kaya gitu trs aku gamau ngomong sama sekali sm trs kmrn tbtb cont,N
192,kamar aku kucing kecil mirip bgt kucing aku udh mati kata buat aku biar ga sedih lg aneh bgt gasih,N
193,nomor w dijadiin nomor darurat sama temen sd buat nah kang pinjol nya wa w trs sampe telfon padahal posisi sama temen w pinjol ga hubung lama dr dulu liat orang kaya ganggu bgt sumpaaah,N
194,allah neng aku anak rantau terus tbtb kangen sama masakan mang sm melayu udah cari cari sini rasa gak sama umum nyesuain cita rasa daerah aku tempatin akhir aku nemu resto jual rasa identik sama masakan daerah cont,N
195,aku aku makan nang krn kangen enak bgt,N
196,coty manis tco kxhx,N
197,yallah ken ngerasain menang giveaway sekali aja,N
198,cw western hollywood actor manga when see mads mikkelsen but make it manga version tco,N
199,kayak minggu bakal terus ngerasa berat bahkan mungkin uji selesai asa berat wkwkwkwkkw tco mfquesbscv,N
200,titip an mini mal li ma ka ta tco,N
201,neng banget tugas gue kelar lanjut tugas,N
202,after like,N
203,buat kalian percaya zodi k knp kalian percaya zodi k kan pseudoscience ilmu semu teliti gk ilmiah kalau kalian rasa zodi k cocok bgt sama sifat kok nama barnum effect btw tco,N
204,tw tipu bank udah berapa kali nemu orang kena tipu wa sama orang mengatasnamakan bank bri sampe sekarang kok ga bank bri coba ngelaporin padahal kan tindak tipu mengatasnamakan bank bikin percaya masyarakat cont tco ahj,N
205,turun cmiiw,N
206,aku biasa gasuka masak males cuci perabot mending order food sayang ken deh dimasakin kamu aku bucinnya banget oke bangga nyata aku bangun pasar beli bahan sama cuci perabot pas sibuk sibuk tco,N
207,currently on my lowest point iseng buka bukain folder word laptop terus nemu nyata aku romantis sama diri sendiri wkwk tco,N
208,kosan aku bekas orang bund takuttt,N
209,mind blowing tco cezwd,N
210,li ma ka taa tco copyiih,N
211,pacar bulan udah break aja awikwok banget,N
212,mau minta pandang kalian kena please pake bahasa baik aku salah ga kalau rasa sakit hati sama jadi kan aku ikut ukm sastra gitu kemarin tuh rangka ngerayain bulan bahasa suruh buat puisi waktu aku kirim cont tco jca,N
213,urus nyata tanggap aku paham betul maksud biar puisi aku kembang bilang ga niat jelek bikin aku down banget aku jadi takut bikin puisi chat baru berani aku buka hari kemarin aku uts jadi takut malah cont,N
214,ngeganggu fokus aku,N
215,maaf kalo kalian sebel gue jg benci sisi diri gue yg sampe ngelakuin bodoh cuma biar puji orang tco,N
216,aku bosen banget hari panas saran bikin minum seger dong,N
217,gua butuh topik buat chat,N
218,aku takut ga dapet ptn aku takut prospek kerja aku takut ortu gapunya biaya cukup,N
219,sender naksir sama stranger,N
220,gais pls cara ngatasi kek chatan elite rl ngobrol sulit kek tau gue tu nama siapa tp kek wkt ketemu tu malah bingung jd pls bgt cara kek ngajak ngomong duluan gmn tktnya malah bomat ngehindar gitu kan malu,N
221,sender mimpi tadi malem gendong bayikkk rl paling gaseneng sm bayi gitu tp pas mimpi allah neng bgtt gemesh trnyata sm anak kecil,N
222,sumpah dunia skrg udah makin gila aku baru tau bgt kalau kalang anak smp skrg udah jual perawn bahkan cuma buat beli iphone itutuh banyak sklhku speechless banget aku aku kira cuma nakal batas nonton bl ngutang pake spaylater gitu cont,N
223,nyata sampe kayak gitu bingung banget aku senolep sampe gatau kayak gin pantes aja temenku bilang aku terlalu polos,N
224,klian kesel gksih mau liat trending muncul beginia smw tco,N
225,abang nya ga main main kasih keriuk tahu tahu nya beda plastik tco rbeuadfepn,N
226,cw harsh words kata kasar pedeef banget ga tuh tco,N
227,semangatin sender dong sender sekolah lemes bgt,N
228,kalo bias kalian ambil temen kalian gimana bener kek sengaja banget manas kalian,N
229,pas daring ngehindarin tugas video skrng pas ptm ngehindarin tugas kelompok,N
230,gue hri ultah kn yh ucapin dnk maw mnta rekomendasi hrus order minum ap gt yh sbgai kedok self reward krna bs smpe umur sgni ap gais kasi sy saran,N
231,gimana crush aku cuekin aku hari terus aku cuekin balik hari pas aku balas gak balas,N
232,sedih banget pacar gak bales chat udah jam jam padahal ngomong serius aku gak tenang banget on mulu ig pikir jadi,N
233,i think i ve seen this film before tco,N
234,cowok kalau peka nyebelin bet dah kemarin gebetan gua ngintrogasinya kek org ngegodain mana tatap titip tco,N
235,crush aku sama temen aku aku mundur enggak,N
236,kalo cemburu does that mean i havent moved on yet,N
237,gapernah ngerasa dibanggain sama pacar sedih ga si apa gue salah pilih kali,N
238,tw mention of cheating selingkuh kata kalau punya pacar hubung romantis orang ngechat lawan jenis masuk selingkuh kalau misal ngechat kayak pamerin romantis ngechat lawan jenis bilang pacar lucu banget cont,N
239,hari neng gak,N
240,ngabarin sebenernya grup ngabarin kalo web udah masalah arsip kontak gatau si grup iya ngga tapi kalo nyata beneran jadi ga ngerjain uji susul ga aku kabarin gimana donggg kan cont,N
241,tugas henti ngejar gue gak gue cowo kipop bukan,N
242,hari senin knp aku sial trs,N
243,kek gara mau downgrad apk bs combo voc goput udh didenger pihak deh wkwkwk rata udh update semua btw versi https tco mzim,N
244,skrg aku udah thn ttp jatuh cinta paling kesan buat aku tuh pas sd telpon main bareng seru nunggu hari esok tuh excited bgt ngobrol random ttp ketawa skrg pdkt sama cowok hambar terus gitu aja aneh gak sih aneh kan,N
245,kak rahmat gue uda bbrpa bulan have a crush on u tpi gue bru tau klo trnyta lo uda punya cewe,N
246,aku mulai mau buka hati buat orang deketin aku aku gak tau bakal confess gimana moga baik buat,N
247,emang kompetitif bgt bpk sy tco,N
248,sama cowo pinter pas udah dapet malah insecure ngang ngong,N
249,gue kesel bgt sm org kek gin asli tco,N
250,sender hari ketemu crush sampe terus ngobrol sjshskaj,N
251,au angst sad bangett dong aku ken nang habis stock au,N
252,hidup kok makin hari makin flat aja gak semangat ngapa ngapain gak punya ambisi gak enak hati terus makanya tiap hari bawa cape terus gak ngapa ngapain asa cape,N
253,capek bgt packing barang sendiri mau pindah kos,N
254,duit jajan aku abis,N
255,please normalize beli kue ultah buat diri sendiri tadi pas aku beli kue mbak senyum terus pas aku keluar toko mbak ketawa sama temennya gatau senyum ramah apa senyum ngejek ngetawain aku beli kue hbd to me,N
256,allah masa sekolah razia isi hp,N
257,hp xiaomi tunjukkin font hp mu lucu,N
258,sender lg sakit gk makan pedes enak makan ap yh,N
259,nama aku sering kira cowok kali biarin aja dah panggil aku capeeek tco vkjsyek,N
260,ahmad kata gweh lw mending diem aj dh tco ojmtyqzw,N
261,padahal udah sadarin sama story nya ngebucin sama cewe tetep aja ngecrushin,N
262,padahal ngetik begini doang ngumpulin nyali dulu tco,N
263,emaknya rafatar cantik banget pas kecil tco,N
264,ngaji mam permen tco wwpdfo,N
265,please rem tadi jam malem keponakan aku tk keluar sendiri rumah diem diri teras abis gedor gedor pintu pas tanya gak jawab malah diem aja akhir sama kakak aku bawa dalem,N
266,aja orang begini tco ohtwfg,N
267,cara cowok cewek kpop kerja sibuk diri true or false guyss,N
268,kadang mikir apa aku ga pantes punya temen rasa selalu gagal teman,N
269,wkwkwkwk bulan centang biru tco,N
270,panik tiap kamu up story takut isi bikin nyesek wkwkwkw,N
271,cw death cw itaewon td aku nyerita mamah berita ita sama kata bulan mulud jd banyak berita ga enak kata kalo bulan mulud jgn mana tp wallahualam tuhan tahu,N
272,yaallah baru sadar nyata bibir gue gak simetris nyesel tidur miring mulu,N
273,langsung speechless tco,N
274,i wanna i sometime wish i never been born at all,N
275,spill wifi kalian dong ken pasang wifi rumah mau cari referensi duli tco,N
276,bitt colab sama vas bentuk gemes banget woyy syg banget kalau makan tco rfwv,N
277,mama bilang aku kalau dik lama ga masuk aku males aku ajar susah payah beasiswa sekolah anggap gabisa apa aku jadi apa buat banggain mama wkwk kakak ku skrng jadi anggur tp rumah jadiin raja cont,N
278,aowkoakwowk adek ku selalu manja bingung sampe skrng aku kurang nya apa hahaha kurang jadi duit,N
279,cowo paling ngeselin dunia alam semesta kelas gwehj tadi puk pukin gwehj pas sakit kepala alias wowww ni cowo ksurupan jin baik yachhh,N
280,hmm curiga punya cwo spek hilmy tco,N
281,waktu lalu cepat sekali nunggu menit jam pas mau ngirim menfess d,N
282,akhir aku jadi princess tco tulgba,N
283,unlabeled and rant ayo mutualan,N
284,gapapa kok ngeluh tp kalo emg gakuat ceritain aja jangan dipendem sndiri,N
285,ayo cerita yaa soal sender lg posisi baru putus minggu lalu tetep ngehubungin mantan buat balik tco xmaqdkqexb,N
286,i love him but,N
287,nyiptain tugas kelompok siapa sih,N
288,ring ring do you mind to be my friends a little information about me i m a rp writer taalkss a lot pleathe drop a topic or a simple hi below,N
289,kalau peluang diizinin nonton konser ga diizinin n diceramahin abcdxyz mending ttp nyoba izin yaudah terima ga usah nonton tp pgn nonton all akomodasitiket pake uang sendiri jgn saranin ga usah izin soal ak dr luar jkt takud knp,N
290,japan anime songs lagu lawas indonesia please leave a trace with your tmi or question to summon me already legal and use him as my pfp see you,N
291,banding selalu nang nyalahin kecewa sama diri sendiri sakit aku sekarang lebih milih minta kuatin kasih ikhlas thp semua aku laluin alhamdulillah semua jadi asa ringan,N
292,guys cara biar jadi orang sabar gimana yahhh,N
293,instagram tiba nonaktif trs suruh masukin kode kirim email sama hp abis masukin ngga notif apa malah cuma muter doang halaman apa diaktifin,N
294,instagram bersih apa gimana sih ga ngapain jadi overthinking anjir,N
295,akhir okt gin bgt liat crush foto sm cewe masukin story judul laguny lover,N
296,hari sender ultah udah mau ganti hari gaada ucapin sender balon balon pas buka accpun gaada gkpapa sih agk sedih dikit gin hehehe,N
297,kalo diinget sedih dikit sksk tco tyjilpwpjj,N
298,cw tw alkohol alcohol im sorry for asking buat udah cukup umur legal do any of you have alcohol recommendations for beginner btw aku udah diizinin ortu buat minum titip,N
299,sffh mwu mwtwlan sama rant brisik,N
300,oktober sucks,N
