content,sentiment
 is it okay if 17 yo girl me have a crush on 27 yo man this feeling juts comes right away and i can t control it if that s not ok what should i do salty in aja gapapa kalo emang nyeleneh,N
 panas banget,N
 maaf ngeluhhhh relationship kesini komunikasi jelek banget usaha reach up ngalah asa i really love him i don t want him go but  susah banget aja cont https tco c0llhbettj,N
 aja bales pagi spamming semalem gitu dibales pagi telfonpun gamau angkat balesnya dm ig last seen ignya 7 menit salah ya kaya marah gitu  nangissss,N
 rekomendasiin film netflixx manis ga too much kaya donggg makasii https tco zj6wiwssb7,O
 eh udah baca plis takut bangettt fakkk arghhh ibuknya jugaaa ya allah https tco kmxvbqkgxb,O
 mending beli buku rak buku beli rak buku buku nya dikit,C
  ayo drop lagu vibes kena sinar matahari hangat gitu,O
 hai liat jadwal event anime gitu darimana ya cantumin akun ya huhu thanks in advance,O
 bener nih kalo ngechat p doang nyepam ga bales https tco jslxcic8jy,A
 ajak split bill gamau pas tagih wkwkwk maaf balesan kasar https tco fmv6gpyb0w,N
biar nang gimana help udh nang air mata tahan ga saranin lagu indo bener2 bikin nangisss ,O
km pikir dgn km hasut org benci sm kren khh kidss ,N
 kalo sender gimana thank u - titip https tco nc0wdhj2fr,O
 unlabeled and rant let s be moots,N
 goals november,O
 cocok tonton dua pacar atau saran movie romance manis ga too much lucu gituu makasiii https tco ltnfomz1pv,C
 zootopia guyss https tco arbdiuxrwm,O
 how to say ga hilang without say that,N
 akt 24 apakabarrrr udah siap hadap utbk kalo iya ajar tps aja tka bingung bgt bijak yg ,O
 choose your fighter https tco lwx44xqnmo,O
 guyss asdfghjkl wa an kali nya crush omggg eidgeihdiehdie neng bgttt tolonginnnn bego yh gapapa neng bgt plis ngobrol  https tco cxyw3ucfnj,O
guys kalo spotify game gitu ya kayak receiptify dll kalo apple music ngga ya ,O
 guys rumah pake ac tolong saranin ac awet sender rencana pengin beli ac tia,O
 kasih tau film n must watch,O
saran kado ultah ayah benda makan manis2 tia ,C
 help paham ga https tco ge8ca7e1m4,O
  kudu gimana tolong saran ken move on tp susah https tco wlblr95x71,O
 saran film,O
 kucing kalo ndusel ndusel kaki tangan ya geli-an org nya,O
 ultah beli kue  kado yay nay,O
 saranin nama kelas 11 ips 1 fwends ,O
 rant acc mutualan yuu pindah akunn ,O
 orang bumi jahat ya,N
 ges namain kontak crush or bi ef nich,O
 guys tarik tunai atm bri pakai debit mandiri nak ribu,O
 halo cewe ken cari temen cewe jugaaa rumah daerah tangerang kalo rep yaaa,O
 tau lord huron ga,O
 maaf kl oot tp nyari yg nama diandra sm safitri  yg ntn konser txt ice section blue sm pink kl gasalah foto bareng shuttle st cisauk ice nya tgl 12 jam set 11an  foto  yg alat deteksi suhu gt  mnt cont,O
foto tp lupa ga mutwualan minta kontak kl ad yg tau nnti ku dm yah makas banyak,O
 wkwk ril cry https tco wxryaipvqs,N
 ken ngumpulin fans nya yungblud say hi dongg ,E
 gue gada pacar asa banget buset https tco abtxzo6dsj,N
 halooo bantu like lomba foto kreatif kelas ku ga nilai dasar like nih dm linknya ,O
 saranin earphone bluetooth yg bagus awet makasih ya ,O
 no salty ya gais lofyu ol  https tco sm8txb5fig,O
 ak ngantuk tp tugas besok jam gin enak tidur nugas nugas tidur ya ,N
 yg  charger type c hp oppo sopi bisikin  nya,O
hmccchhh gmn yhhhhhh  https tco usopyww7zf,N
 ngertiii ngerti dongg ga ngertiii https tco 2hut5e73rp,N
 sp yg pusink mikirin konsep confess doang yh sy kayak terima sj hufft ,N
 kpop coba sebut realistis idol kalian sender duluan  https tco d4v0s6qkme,O
 cw  18 21 alkohol mau kalo beli alkohol cafe supermarket sm g0f00d tuh beneran dimintain ktp btw sender dah ktp sm ortu dibolehin minum jg,O
 playlist cocok kasih mas crush lt,O
 saran menu makan malam,O
 happy international ex day mantan,O
 cita cita profesi kalo ken rumah gede orang orang gapunya rumah dalem ruang khusus stray cats ,O
 trauma gue rame gak pake tas sletingnya dompet gue ilanggggggg plis kalo warga jakarta liat dompet item jatoh isi kartu ajar kartu pustaka kartu golong darah jaman sd foto gue amp foto jaehyun ukur 3x4 hubungin gue cont,N
plizzz reply twit,O
 malam tolong like lomba gambar dongg kabarin terima kasi  https tco hn0iamgasn,O
 jeda step an skincare tuh ya,O
 ges no salty ya kalo keliling ui tuh jalan kaki  sender penasaran,O
bantu pilihin dong mending ngecat kamar pasang wallpaper segi budget keriwehan thank u,C
 bang sen bubur ayam gak pake bubur ya ,O
 tanggap gimana umur 22thn mama titip https tco wv0bwtwo1c,O
 saran topik call an crush donggg,O
 nanya kalo ngetweet rant nyambat gitu suka mutual reply dibales ga trus kalo ngereply bales jujur kaya gapapa bingung ga harap sambat reply moots ga enak kalo ga dibales,C
kucing kalo tidur ndusel ndusel kaya ngendus ngendus sih normal kah ,O
foto aesthetic wallpaper ga bingung pake wallpaper  makasih ya ,O
  halo butuh responden kuesioner tesis kriteria mahasiswa ikut demo aksi turun jalan min 1x sedia rep like ya dm reward untung d,O
 wkakakak adek gue nnti sma mw sekolah mana mana aja lapang luas,N
 ya telor ayam tp ga kaya ayam ,O
 what s your dream job,O
 ayooo mutualan ig lupa fb yaaa,O
 rant amp unlabeled acc temenan yuk,O
 helppppp blitz kamera hp sender gak nyala aaaaaaaaaaaa kalo senter mah nyala udah coba hapus data kamera tp ttep gabisa  gimana yah ni samsung a32 btw https tco 8agt9ltdaq,O
 kau patah hati jiwa haluuu ku,N
 mutualan ig yuk gais bikin akun drop linknya yaa-,O
 halo tolong bantu like komen video tugas diyoutube terimakasih dm hehe,O
awokwokwokwokwok stress  https tco li1gcnjskz,N
 tau ngga ya font makasihh https tco hyzqdzyrhb,O
 cw  18 guys tolong baca maaf salty ya yg paham mohon jelas https tco 5jw8evivug,O
 akun dump account ig mari rapat yuk mutualan tp follback yh https tco s3rzldwrro,O
nungguin temen gua pinggir jalan abang ojol renti gua trs ngasih duit 2rebu bego gua terima mlongo ga ngerti yaaallah random banget  https tco p3zbqcil5z,N
 how was your day guys did you go outside today if yes were the skies looked pretty too bad mine was just grey and dark because of the rain  but what about tomorrow maybe the rain will eventually stop and the skies can be back to their beautiful color i can t cont,N
wait to see them and i think you should too i want you- i need you to be alive to see how pretty they are love ,N
 titip kenapa ya bapak2 tuh kl ngomel aura bener2 takut bkin mewek sbenernya beliau ga marah beneran tp kl ngomel kyk jg kita aja no hard feelings gitu ortu gin gaksi,O
gak garam ya nanya liat yt pl prem 59rb an luar 20rb an bawah gitu yaa aman ga yaa tia ,C
 udh expired dipake ya btw udh remove all payment https tco osvqfpuil1,O
 bersihin noda buku kaya gin gimana ya  https tco dobd4acz0a,O
saranin lagu playlist  https tco hwqgnpehvg,O
 notice me kakak kakakk  https tco tsv3zqmyte,O
 bantuin temen sender dongg makasii https tco o1yhbetjbl,O
 revi3w nya maju mundur pake st combi acne prone https tco b2atbbqqgj,O
 ga sih temen yg kayak gin  https tco o31pfxw0jh,O
 mummy dont know daddys getting hot at the body shop,N
 gais ditawain sekpel proker kelas desain ambil ga ya tugas ngapain aja ya,O
 ya the one n only for u,N
 november be nice plz plz plz,E
 ak ngntuk  trs puter playlist  playlist dangdut jd ga ngntuk joget joget ku hamil duluan 3 bulan jam jam jam tiga boom shake shake shake boom tolonk ak playlist tidur klen,O
 kadang cape malam aja bahan ovt klo besok berat  kadang gemeter sampe mual saking panik takut ngebayangin esok,N
 kak saka  barangkali skripsi berat ko bantuin bolak tukang fotocopy,O
rekomen ye0njun au donggg trims cinta ,O
 hai saran ngajak putus ga sender minder cowo sender orang btw putus si cowo suka ngomong pantes orang lemah cacat kayak ditinggalin help,O
 gais spill baju rapi yg pake interview gw bingung pake kalo suruh pakai rapi aja  kali interview kerjaa,O
 gais kasih saran ga kena sakit ims trus periksa biaya nya lumayan mahal bingung gimana ngasih tau orang tua ku takut ditanyain,O
 people who use to listen songs on yt are cool af,O
selamat malam  https tco r2qdjaq9pt,E
convomfs open follback 1 retweet tweet ini 2 retweet tweet bawah 3 reply done ce jangan spam ya good luck  https tco vldwrhdwtk,O
ikut,O
udah difb dim allahu testinya https tco qxn6janqtk,O
convomfs open follback 1 retweet tweet ini 2 follow https tco 6aenot5v9j 3 reply done ce jangan spam ya good luck ,O
berani kasih testi angkat tangan ,O
 pas pup darah tu yaa,O
 knp yh orang klo foto merem gt hasilny baguss gue coba foto merem kek orang tidur anjrt ,N
 twit udah ga share igs ya,O
 waw ldks senang y abis ldks omelin abis abis tni  osis sekolah iya sih nama jg ldks plg plg paha kayak abis injek injek diri susah duduk sakit masya allah pake obat ya biar cepet cont,N
sembuh sakit banget huhu ,N
 kalo baca au kerja kaya nya gw udah miliuner,N
 guyss kalo iph 13 128gb main genshiin kiat gak yaa,O
 nutupin mata panda pake skincare make up produk yaa,O
 goyang dumang biar hilang,O
cm  centimeter m  meter km  punya dm  plis ,O
 yg main kart rider temenan ga,O
 tips diet ala gimana,O
 guys sender kena scam convert pulsa 105k spay jujur ken bgt kasar ngeikhlasin aja https tco mcopvd2c9g,N
 besok pake totbag ransel ya ,O
 guys tolong sender motivasi sales ketemu org ga takut itu gabisa kasih kata2 skip aja yaa butuh motivasi bangett makasii sebelumya,N
 tugas kpn renti sihh capek bangetttt,N
 haloo tau film horror yg hantu suku indian topeng kuda latar hutan senjata kalo ga salah kapak endingnya bom mc,O
 lets be friends akuu unlabeled,N
 maaf guys numpang curhat  https tco 9zjnfmdjxu,O
 sender udh qrt liink tokoonya yaa komen toko emng gk rame klo liat liat tp amanah ayok ramein toko  https tco pocjzwcajw,N
 sender bimbang update miui 13 engga coba yg udh update kasi tau  - nya aja tia,N
  gw motivasi skripsi lagiii tau gak motivasi nabung duit nikah gw blm calon yg nabung estimasi 2-3th kumpul sesuai target bismillah doa yaa biar selese skripsi cepet dpt kerja,N
 temen kerja bestie nya kenal bom 4 bulan kalo sender gapapaa garemin aja  https tco hveg1qvdgi,N
 ayo sebutin lagu galau day6,O
 celana warna kayak gin cocok pake baju warna aja ya https tco 1zvpdlrhli,O
 nomor wa kasih tau sakit abis ngechat pake emoji pap 3 ilfeel gaksi ngechat ngajak main 2x maksa gitu https tco w9eiyi3rqm https tco gftzdqczxh,O
 maaf numpang curhat kesini karna gatau cerita makasih semua https tco cugyk8lxcq,O
help guys saran bingung bgt   https tco d7flocbngj,O
 titip ges https tco mnxwuroj0b,O
 ken kabur aja rumah hehe capek,N
 cw  payudara boobs titip https tco 6ty86kv1vq,O
 kalo kasir gimana https tco d5fqav3e1f,O
 besok jogja krl yay nay sender sih krl burnout banget hilaaaaaang https tco x6odtqk4is,O
 nggak my dream job if money didn t matter klau ad spill klau sender ken pastry shop mslnya bnrn maybe roti nya dimakanin mulu sender wkwkw,N
 lu minum obat nge-charge hp sih hari 3x,O
yg tau gak nama fontnya  https tco zjcsm44un6,O
 panitia buku tahun taun gandeng vendor inisial a jogja vendor lumayan kenal vendor gin tu tuntut kompensasi ngga si temen2 ken nagih takut buku asal2an vendor oiya trus tambah fotografer kalo cont https tco mhicmuqjws,O
 ga segaja ketemu 52 yg  https tco l6n94hxbzt,N
ngefoto suka miring2 wkwk,N
 mutualan study college acc ig yokk drop link nya ya,O
 niat delete for everyone pencet delete for me ,N
lucky you all have a good father and really cares with his children i never felt it in 20 years of living in this world  https tco 37tseux26v,N
 yg gabut yuk main pertinyi-inyiii sebut  https tco boot1n2qkg,O
 how to being alone without feeling lonely,O
that was kinda hard in the end that was kinda hard at the end ,O
 cw  ganggu mental keluarga gais maaf ya tumpahin drama keluarga krn bantu ya yg keluarga yg rupa makasih https tco vdbp7thqft https tco mla2v6vxet,N
gilakkkk gue muda udah jompo banget gin encok ,N
 random acc ayo mutualannn,O
 mending beli chicken wrap apple pie md,O
 eating spongebob s house  https tco ttyocum1n8,N
 halo sedia isi padlet ulang reply aja dm,O
 beli yg pilih https tco 9bxqs9yvqo,O
anjir banget bensin ngapa cepet banget abis yah ajig  https tco 1x6nt6mwm8,N
 wdyt temen yg pas ketemu main hp,N
ga yaa olshop jual album kpop bungkus dipacking hadiah ultah gituu kalo spill btw tia ,O
kabar visnmokes ,O
halooooo bantu isi padlet ulang teman ku linknya dm terimakasiii   ,O
what are you guys gonna do  https tco 3in4xeiouv,O
 guys pap muka asli gak kalo chat anonymous telegram kalo cewek yah,O
 guys tolong like and komeng reelsku egk yh nnti klo mo barter like tugas ato lomba bleh darling  nnti ak dm yyh,O
 salah ga gua kangen doi pdhl yg ngeblok duluan trs ultah gua ken bgt ngucapin,N
 drop any song that relates to this month https tco 4ovzyaedmj,O
 eh kemaren berita festival batal sender tinggal  https tco evo3igngej,O
 saran quotes  motivasi alas tahan serah idol artis film anime tia https tco 7ug6fxtnvs,O
 abis rumah pacar trs sakit tetep nganterin pulang  yaallah ngerasa dosa dianterin pulang yg sakit pdhl pake gojek ngga tp gaboleh,N
 nangisszzz  pake lem tembak nyatu gakk yaaa  https tco ivmexrr46t,N
 ko orang gemes kamuu,N
line ku garing bgt biar rame gimana ya ,N
 udah doi jenjang serius udah kenalin orangtua galeri amp sosmed foto mantan doi akun bucin mantan sampe aktifaku ga sengaja nemu twitter cont,N
ngereply mf base kadang ngerasa kalo cuman dijadiin ganti mantan kadang bahas mantan pas bareng gimana sakit banget kalo jujur ti ti pan,N
 guyz jd ak jumat kemaren adopt kucing umur 3 tp malem tuh ngeong mulu ya ga kandang,O
 drop your now playing,O
 saran nama kucing lahir dong putih trus satu belang abu item makasii,O
 ku hadap ngeluh twitter,N
 saran film netflix yg dijadiin tema bts,O
 hey ya lupa doa utk malem ya gak marah saudara  aja luahin yg dalem hati inget setia tunggu peduli sayang banget ama god bless you,E
 kakak2 submit jurnal tp lupa add author gmna gabisa cancel udh lanjur kirim,O
 tau jendral nathan fiksi megang akun twitter nya deh author nya kah emg org yg megang kayak rajin bgt ya how s your day ga bosennya,O
 rant unlabeled small acc mutualan yukk temenan prefer suka jbjb komen pake meme trbaikmu yeah love,E
 niacinnya 10 mending the 0rdinary sk1ntific,O
 wdyt guys gas aja mundur  https tco dgihheinox,O
 rest in peace lee jih https tco uw5k1s45sd,O
random question yg phobia senin ga ya ,O
 guys langit rumah yg belah merah belah item ga,O
 guys tau sound tikt0k bahasa jawa tuh tau makasiiih https tco ywjvsxzzdw,O
 mutualan ig yok guyssss,O
 saran eyeshadow palette sedia gu rd1an amp s0cioiia,O
 saran https tco e4irpe01yl,O
 kasih tips biar cepet tidur tidur malem trs,O
 gue kangen day6 ot5,N
nemu postingan majalah hp jadul 2003 ig alias sender lahir yaampun lucu kalo liat model hp jaman  https tco snwi0niec2,N
 yg tf spay bank kalo jam gin emang ya proses ty,O
 ultah 19 lagu yg cocok igs thanks in advance,O
 guys mending co skinker skg karna payday tunggu 1111 ya diskon bnyk guys ,C
 muka gue asa kadang cakep kadang ngga konsisten ga sihh cakep gituu ,N
 gilaaaa gue kontak sampe akkkun rp mantan rp gue 2016,N
 guys saran ngucapin ulang bestie yg anti mainstream donggg pls ak udh buntu bgt  https tco c5jpwuhf5r,O
 mak nya mail amp ijat gak sih,O
 cape bgt hidup ken istirahat bentarrr aja ga si,N
anak 90an nanya emang hp jaman kalo udah layar warna harga mahal banget ya sampe bikin artikel   https tco h2fowcniuz,O
 saranin lagu kaya gin gais  https tco fuzxmgw7q4,O
 how you guys deal with loneliness,O
anjr ni orang habis pandemi cakep2 gue mana ngeliat orang glow up but me  ,N
 besok temen ulang isi secreto nya ga yaa dm linknya ,O
 kuis sempat 3 kali kira2 ambil nilai bagi yaa sender mo ngulang gatau salah mana takut ulang nambah kecil,C
 ciwi muka pake masker kaya gin ga klo iya spill l1nk nya https tco sd3hagdyim,O
 titip kalo payment pake qris shopeepay tuh username akun shopee liat gak,O
 sp yg lgi pilek cungg ,A
 besok temen ulang isi secreto nya ga yaa ,O
 masukin qris website foto ajaa ubung bc4 nya tolong jelasin paham terimakasih yaa,O
 guys i cut my hair without any reason  please tell me bagus engga besok pacar main rumah  https tco bo5pko1sgw,O
 tele fitur larang ss record kirim media gaa yg personal to personal yaa bkn channel kalo yg tau dm,O
suka wing nanya sender wing ngga bagus jawlinenya nyoba cenat cenut ya mulut atas tia ,O
 i m so close to giving up,N
 ngobrol didm 3 anak berisik  ,O
komunitas ketawa ga twt join  ,O
 mix and match outfit biar ngak liat gemuk gimana ya thread nya btw bb sender 60,O
 guys bingung banget sumpah temenku curhat pacar pacar udah aneh toxic temenku gamau putusin alas sayang udah kenal keluarga udah hopeless banget gimana nasehatinnya cont,N
takut salah ngomong plis plis plis saran ga,O
 hi today is my birthday,E
 guys biar ga minder mantan pacar gimana ya gue suka bgt insecure kalo liat mantan,O
 mtix udah pake gop4y ya bayar nya prasale black panther mending tix id mtix ya thank youu lt 3,O
 ibukku td bikin pisang bakar pas coba kyk clekit pedesnya gt msh kyknya org rumah gadoyan sayang bgt kalo buang tp gatega kl besok bangun tp pisang msh org rumah suka nyemil semuaaa bingung hrs cont,N
diapain ,N
 yg km pikir kali pas denger semarang,O
  10 buah qrt wujud 1 menit ovt,O
 baper sm keti kata sender dpn cermin,N
 tolong gmn ratainnya yaaa trs knp ga sejajar gt yaa sender lg lapor pkl thank u https tco co23uerzsz,O
 cw  food menu favorit https tco rlkj3cmj7l,O
 dear c thanks for always be there for me,N
 orang sembuh luka orang damai trauma,N
 halo ges tolong reply kucing umur 2 dimandiin ga sih ni badan kena tainya ,O
doain yaa lupain udh cape bgt harap yg ga noleh samsek haha suka diam diam tu cape bgt yaa nyerah ,N
 ngecrushin org krnh formalitas nggk ap ap takut tmn sender mikirnya sender cmn suka cwo fiksi ama cwo kpop doang pdhl mah iyaa t i t i p a n,C
 lumpia basah pake ketiwaw trs minum thai tea gocengan https tco y9flwdyni6,N
 alih korean skincare mending nyoba set cosrx axis-y thank u https tco qr8u7aa1vx,C
 main qrt random yuk,O
 yg balas reply pakai ujung -ns mksdnya ya,O
 gue minggu,N
 ya ketemu mas crush tuh perut mules langsung keringet dingin kalo disamperin,N
 qrt yukk bebas context,O
 hey semangat nya 2 mas pacar tunang udah 7 pacar tau selingkuh nge-seks mantan nya 5 bulan sakit hati banget malu gemeter engga percaya,O
 saranin anime genre kaya jjk naruto demon slayer,O
ngapain ,O
 sender ngecrushin orang kalo dua bawannya canggung bgt gw tremor parah natap mata aja gaberani huhu,N
 swnder dikenalin ortunya pcar sendeeerr pliss do s amp don t nya enggaakk yaa,N
kalo sedih jam gin ken mandi keramas kpla seger  ,N
 inspirasi outfit ga sih kalo coba reply influencer selebgram hijab yg ngespill outfit gitu,O
 kalo cowo yg carenya cuman pas ketemu kampusl pas lg nongkrong tp telah ga ngechat tu knpa yh,O
hi i m still awake and need a little advice here does anyone want to help me hehe lupa check dm request ya ,O
knph sy ngecrushin cowo rl kembali sy yg ngecrushin cowo kpop ,N
 coba tag crush mu keren,O
 sumpah ya benci banget sifat cemburu sahabat tiba2 deket orang,N
 let s forget and forgive from the pain you ve got from this month,O
bm mie ayam  ,O
 ayo tidur kak,O
 ngecrushin mantan gin ya ha ha ha,N
saranin film series per utama tu pinter ,O
 how much i want to meet u https tco qseruwrtoj,N
mam mie yuk ,O
 guys coba sebutin merk make up skincare udah bpom tpi ramah kantong ajar,O
 sblm oktober tinggal pesan utk nama,N
 lagu enak bngt dah suara adem bener  bikin mleyott https tco 81jnw5kkrq,N
 plonga-plongo tau udah pagi,N
 gak papa jarak hati,N
asa udah dibales pas cek wa kebales  https tco 6hk0u9gc3o,N
 dah bangun bobo puasa senin,O
 knpsi temen gw cowo kalo ketemu mesti basa basi nanyain cowo gw mana pdhl cowo gw ga temenan ama yg tipikal tuh mksdnya nungguin putus trs ken pdkt emng dar basabasi siii,N
 tw  18 nsfw sexual assault titip https tco mt0jyo0ooh,O
 gais cowok upload ginian wajar ya i mean gausah https tco aiyieuinv3,O
 guys kasih saran ngga prefer sepatu pvn sovella terima kasih yaa,O
bangun tidur gin ngerasa glowing malemnya skinkeran mantep euy ,N
 yg tau apk baca pesan wa yg udh hapus ga gitu baca udh liat google ga work thankies yoo,O
 pagi pap suhu sender https tco 9z25y2nd15,E
 gais rekomen lip serum bagus cerahin dung,O
 charger dipake bareng rusak ga sih rumah hp pake chargeran blg ga sangka pelit ntar serba salah,C
 kasih dapat yaa akhir2 komunikasi ga baik2 aja cwo sempet antem kemarin baik langsung omongin yg nunggu emosi belah reda yaa,O
unmotivated banget ,N
 mending nginep rumah temen tidur rumah,O
 takut ken bab sekolah ,N
 promo mcidi laku ga https tco z3mdswkuco,O
 please recommend sender buku putus asa makasii,O
 tim yg kalo tidur hp mati cuman pake mode pesawat,O
 today is my sweet 17,O
 makasih udah  https tco ofokv3780z,O
 senin senin lagiii back to reality ,N
lucu banget tampil t l gram ala halloween  https tco mpi4oldrc1,N
 cerita semalem emg badmood temen ngeh bgt badmood pgn ketemu ya allah kangen bgt ldr  https tco 2yetlf95ns,N
 nmr yg udah daftar tuh ganti ga guys ngaruh kartu ateemnya ga https tco njnxdfuqmc,O
 ya hujan duit gitu anjir seret bgt dompet,N
wkwkw kemaein gue upload foto libur gue sakit izin ga masuk sekolah takut temen-temen nyautin guru kmrn asa libur ,N
 file drakor laptop hapusin recycle bin hapus permanen niat storage laptop sblm ak download drakornya ga pengaruh ya storage tetep stuck angka aja cont,C
gimana ya bener-bener hapus permanent storage,O
 males ga sih lo temen yg gamau kalah kecil,O
 males ga sih lo temen yg gamau kalah kecil,N
 morning everyone jago excel ga ya sender tolong thank youu -,E
 cw  luka merah merah guys tanyaa orang kena asam urat tuh kalo kambuh kaki sampe merah2 gosong gitu kah  bokap ku asam urat kambuh merah gitu kaki yg skrng tuh merah nya bener2 merah betis depan sampe cont,C
kayak gosong gitu udh 3 ga kunjung ilang merah2nya 1 2 udah ilang gapapa ya tahap wajar kan,C
 love you guys,E
 drop last pict on your gallery https tco s9bkudpa4s,O
 selamat pagi salam sejahtera ,E
 hai gimana everyone s crush pacar ku ngebayi bayiin kamu,N
 titip ya guys ya xixixi https tco s6misqswdn,O
 gais suhu badan 375 normal ngga,C
 sender ulang biologi doaiin lancar ,E
 morning after break-up nyeseknya yaa  happy monday hope you have a good one,N
pagi yu bantu sender titip  https tco elwokpeqtb,E
 mood  tawan hati - awdella,N
pagi giat nya apaa ajaa ,E
 sebutin 3 fun fact,O
awal senin pagi tugas ,E
 met pgie kawans,E
 saran lagu crush suka orang ,O
 selamat pagi anak anak,E
 recana ngapain,O
 crush gue lucu banget sumpahh wrwrjwhskhsdlsbgksbdjsnbsk jadi yuk https tco tjlktvyhy8,N
 i hate the idea of people come and go i want they to stay or don t ever come,N
 yg tau ga bedain pesan bot pesan asli ngl link tuh gmn,O
kalo capek piskis izin sekolah hari gapapa jujur gakuat bgt bangun tidur hawa ga semangat kaya ken nagis ,O
tipe orang gabisa denger ketypo an lafal gak kertas folio temen gw nyebutnya kertas portofolio ,O
 fllw second ig pacar ga,O
 guys netflix ngabisin paket gak ,O
lucuuuu linee  https tco 1sfkkxbprl,O
 bosen rs mulu,N
km suka cuaca yg cerah yg mendung ,O
 no sal ty kalo ga sekolah sma kursus gitu dapet ijazah sma ga ya jujur udh ga kuat sekolah,O
temen salah barang gak bem bim folio gar portofolio gar kadang bikin esmosi pas otak panas suruh mikir ,O
 pagi,E
guys alhamdulillah kmrn udah bs dibatalin makasih ya saran2nya   https tco 6welnqfdgk https tco nyqlg4klli,E
