 content;sentiment
mending beli banyak buku punya rak buku beli rak buku buku nya dikit;C
mana cocok tonton sama pacar saran movie romance manis ga too much terus lucu gituu makasiii tco ltnfomz;C
saran kado ultah buat ayah dong benda makan jangan manis tia;C
bantu pilihin dong mending ngecat kamar pasang wallpaper lihat segi budget keriwehan thank u;C
nanya dong kalian kalo ngetweet rant nyambat gitu mutual reply dibales ga trus kalo ngereply kamu bales jujur kaya gapapa aku bingung soal aku ga harap sambat reply sama moots ga enak kalo ga dibales;C
gak garam mau nanya aku liat yt pl prem an kok luar jadi an bawah gitu yaa aman ga yaa tia;C
guys mending co skinker skg karna payday apa tunggu diskon bnyk mana guys;C
kalau kuis terus sempat kali nah kira ambil nilai paling tinggi rata yaa sender mo ngulang cuma gatau salah takut ulang malah nambah kecil;C
ngecrushin org krnh formalitas nggk ap ap kan takut tmn sender mikirnya sender cmn cwo fiksi ama cwo kpop doang pdhl mah iyaa t i t i p a n;C
aku baru mau alih korean skincare kalian mending nyoba set cosrx thank u tco;C
charger kalau dipake jadi rusak ga sih rumah semua hp pake chargeran aku soal mau blg ga sangka pelit ntar serba salah;C
aku kan punya banyak file drakor laptop terus aku hapusin waktu recycle bin aku hapus permanen niat storage laptop aku balik mula sblm ak download drakornya kok ga pengaruh storage aku tetep stuck angka aja cont;C
cw luka merah merah guys mau tanyaa orang kena asam urat tuh kalo kambuh kaki sampe merah gosong gitu bokap ku asam urat tiap kambuh selalu merah gitu kaki skrng tuh merah nya bener merah bahkan betis depan sampe cont;C
kayak gosong gitu udh hari ga kunjung ilang merah padahal biasa hari udah ilang gapapa kan tahap wajar kan;C
mau tanya gais suhu badan normal ngga;C
kalau puasa terus bersihin gigi pake lidah bikin batal gak aku gak sadar bersihin baru mikir batal apa nda gitu;C
guys mau nanya kalo pake pln pascabayar arti pakai bulan september aku lunasin bayar bulan oktober kan erti bener gak;C
cw kulit muka kulit wajah kulit terlupas kelupas aku rutin pake skinker baru nyoba sih pemakain minggu kulit muka ku jd kelupas gin wajar ga si ga gatel efek sih atau krn cocok makasih https tco myazel;C
tw mentioning sexual harassment leceh seksual seriously asking cewek kalau rumah sendiri pake kaos lengan pendek celana paha boxer celana pendek hotpants gak salah kan wajar kan kalau misal pas pake pakai kayak gitu terus cont;C
jadi leceh bukan salah pakai kan apa kalau teras rumah ganti pakai tutup dulu;C
maen game landlord sim gak mau nnya dong pls ak bingung bgt bangun belah mana mau bikin tp bingung lahan nyaa ga tanda tco opix;C
kalian pihak pro kontra kalo anak ngelakuin salah orang tua hukum cara henti uang saku nya;C
guysss sorry mau nanya karna ga nemu jawab battery health aku ngurangin dlm waktu bulan aman ga sih emg cuma ngurangin cuma efek emg jd boros bgt sih jadi batrenyaa;C
guys mau tanyaa jadi laptop microsoft hilang kalo diinstal ulang kang service ngga microsoft;C
guys aku kan barang track order apknya tuh stuck jakarta doang tgl pas chat j n t nya paket aku malah bolak balik gin gimana butuh bgt barang tco;C
sorry gais mau nanya detail activity gdrive tuh gabisa hapus gaenak bgt liat nama aku ngespam gitu sana di liat sama orang gak si plis kalo malu bgt;C
memori hp aku penuh bangettt kdang sampe tinggal mending filenya pindah gdrive apa laptop;C
kalau peluang diizinin nonton konser ga diizinin n diceramahin abcdxyz mending ttp nyoba izin yaudah terima ga usah nonton tp pgn nonton all akomodasitiket pake uang sendiri jgn saranin ga usah izin soal ak dr luar jkt takud knp;C
sender mau ajak tabib dipijet biar mata sender ga minus kira sender hrs stuju engga;C
saran merk powerbank oke buat konser dong sama klo kapasitas biasa berat bgt ga hpku ip makasih udah saranin;C
iphone pro max or iphone;C
kalian kalau makan rambut nenen tim mana a kerupuk doang b gula doang c kerupuk gula mkan bareng d kerupuk gula pisah e jawab tco iaqtqjircf;C
aku lg mau bellli ip second enak nanya aku bingung;C
guys kalian paket ind sat tuh kalau bel paket murah tuh mana sender ken beli cuman gb hari ga nya hari tia;C
makan mie yes no;C
guysss jadi mata minus silinder kanan kiri ga terlalu ganggu sebenernya lebih baik pake kacamata apa ngga;C
mending mana guys klo punya revi dong tco udjvuoqw;C
haloo temen temen sini make in ear monitor gak rekomendasi sama reviewnya terima kasih;C
baik waktu baterai sisa berapa persen jaga baterai health hp;C
buka rek baru bc expresi ngga buku tabung worth it ngga;C
aku baru pertama kali belanja socolla jadi gatau barang nya otw klik konfirmasi pesan klik nya pas barang nya udah tco;C
aku jadi sie acara buat bikin yearbook mending ambil rundown apa tema terus;C
wanita muslim kalau lelaki datang rumah ngajak kalian mau gak posisi kalian single kalo mau apa buat kalian mau;C
kalian kalo nawar gin gimana wajar ngga btw tco lkar;C
enak gmn klo ganti apk tu kesan rugi bgt aku soal gapernah makek tco;C
mau nanya kalo biaya cek sehat rs tuh brp ken nyoba periksa dulu pernah bikin surat sehat rs screening kata gejala aritmia ken coba cek takut mahal;C
ig udah aman bom yak;C
kira kalo mau pisah mana minum mana minum malem tco omb;C
tidur pake headset takut budeg;C
kalian kalo aku kasih hadiah korek cowoku gpp malah lihat dukung ngeroko pinjem korek temennya buat ngeroko aku tadi nemu korek lucu niat mau kasih biar ga minjem minjem wdyt;C
guys help dong mau jual barang mending lz sp or tp gampang;C
sender kelas sma sekarang jurus ipa sebenernya terus mau masuk psikologi saranin sender ga sender apa mungkin ajar kayak gimana kalo kalo linjur gitu;C
misal instagram privateterus nge tag orang instastory sana ga nge follback bisa nge liat ga yah;C
buat xl mau tnya dong sender kuota data tp pas liat ada harga murah kalo sender beli paket data data belum bakal ilang ga tco;C
guys pernah beli ngl link prem gak ditampilin username nya tipe hp nya doang yah valid gak data;C
tanya dong emang twitt update jelek se mau update takut jelek bgt kalo ga update ga login baru;C
guys kan mastip nya kurang bulan kalau misal beli kuota buat bulan gak sih nambah mastip beli pulsa dulu btw kartu xl tco qqvjm;C
buka ig skrg aman ga sih sender blm buka ig semalem mau buka takut ilang huhuu;C
guys udah aman kalo buka ig;C
i g udah aman mau buka tp takut;C
kurang rangin deh share base isi aplikasi belah sw temen orang dekat kalau izin cf instagram buat nyari temen julid base;C
halo pejuanguny gimana nih siap buat masuk uny hmmm aku sih yakin kamu udah ajar biar nama jadi salah satu nama dapet kata umum snbp snbt sm tetap semangat giat ajar tco qlycu;E
halo ming barang kali mau baca au drpn rem tco xyrzsrfxfp;E
vit sini halo pieee;E
halo hyung bonbon tco yonronrxoa;E
halo sender izin aju diri betul rasa cocok kriteria kamu cari punya m rk he seung side face claim worry not confident about my ability to potray them tipe pacar bubbly talkative playful;E
halo bencana bot lapor dampak gempa sila balas gempa tco bhue;E
halo kak mamen kak temenna ngebully ak terus tco;E
halo nder sila;E
halo semua aku kangenkesiniiwh;E
aw kaget halo meng;E
halo tidak tambah nomor anggota kuota akrab padahal kuota susah masuk tdk sesuai kuota tera kurang tco ckizsskhos;E
halo mayy dah males main twt aku hiks;E
gundul halo dek;E
ic halo yg mau jajan warunganime warunghq warunghaikyuu tco;E
posisi jejer ro cacing nk wes munggah tak halo singsemangat;E
kan ndek video klip e js double punch kui basement parkir to ahahaha cuman jokes btw dikomen sama sik featuring sama js lagu double punch nih halo;E
halo sender kalau memang mungkin nyangkut aja bukan arti kamu ga baik kurang ya jadi ga perlu bagai ayo semangat sampai woah akhir kaya gitu semangat sender;E
halo bias kamu siapa fromis;E
baik ulang halo lebih milih matcha ketimbang taro;E
halo gimanaa yaa;E
halo sedia jasa gestun spaylater krediv indodana gopaylater bisa langsung cair after co fastrespon langsung wa tera bio tco vshorkeshr tco rzaifzjo;E
halo mau jastip war tiket aurora bgt nih aku bantu langsung dm aja;E
halo mbak nana;E
halo ganteng tco;E
halo kakak baru rilis single temenan sekali join notre yu kak ct nya lucu semua jamin bikin kakak nyaman tco tco ffbkh;E
piksen ijo apa abu bebas sing penting halo dek;E
halo tania aku videographer jkt silah lihat tco budget diobrolin hehe;E
malem minggu halo bulan;E
halo halo gimana hari bro cakra;E
cardigan rajut bujang nct halo gaes aku mau rekomendasiin cardigan rajut biar sama sama bujang nct shopeehaul cardigan shopeeaffiliate shopeehaul koreanstyle racunshopee racunshopeemurah zonauang butuhuang nct jaemin jeno jaehyun taeyong tco orot;E
halo kak cdm thank you;E
halo jisung;E
halo sayang tco;E
halo halo hai ga apdol rasa kalo gak miror selfie wc tco kkchljselx;E
halo bang;E
halo bencana bot lapor dampak gempa sila balas gempa tco ctczqzdrkf;E
halo gaes tau gak sih kalo bank bangga semua catat kerja gemilang loh keren banget yakan kinerjabriq;E
halo evan;E
halo sering interaksi maaf wkwk gua kasih ava biru;E
halo kak aku noleh ga titip mf zoofess;E
halo dek;E
halo mau ikut arisan get hari aku jelasin detail nya dm komen aja yaa zonajajan zonauang;E
halo min mau tanya klo purwokerto purbalingga naik terminal bulupitu ga naik halte seperti halte rajawali;E
halo kak jangan nyeret terimakasih matiin ritwit aku tco yzxktls;E
halo ka febii makas banyak atas baik yaa moga kamu selalu limpah rezeki kebahagian i hope christmas this year will be the best christmas for you sekali terimakasih ka forget to stay hydrated yaa tco;E
halo kak aku mau ngucapin makasih bnyak buat kaka tribune udh ngadain ga terima kasih mau bahagia buat temen carat smoga rezeki nya ngalir terus sehat selalu bahagia selalu moga kaka nya notice bias nya masing tco ajyj;E
halo kak aku open sharing gramdig fiksi fullprem asi lit sewa google play books lagi lohhh tco uvnlf;E
halo kak aku gak titip mf zoofess;E
halo kak aku open sharing gramdig fiksi fullprem asi lit sewa google play books lagi lohhh tco uvnlf;E
halo cuman fiksi abai typo timestamp btw kayak masuk short au soalmya hshshs enjoy;E
halo nero long time no see kamu apa kabar;E
cuaca ngga tanya apa kabar sudah tak dengar telinga baik baik masa lalu;E
kagok banget perform deketan sama pas kabar jin keluar group denger kabar sih krn tau pcrn tp gak bukti foto ato apa nes cuma edar knetz aja apa i wish the best for jinni;E
apa kabar;E
astaga apa kabar gue pas exo debut gue smp skrng umur udah empat abad;E
apa kabar ngatain ksj banci karna ga wamil;E
alhamdulillah kabar baaaik mei apa kabs nich;E
hi bang dragaz apa kabar;E
anak apa kabar sehat udah berapa lama nganggurnya saran usaha keren gaji tinggi masuk ga braw;E
ganteng apa kabar makan banyakkk;E
baru kli dibilangin cari cuan sini apa kabar sama grup ntah berapa kali sering kesini nonton video jangan goreng tco ylnwjmk;E
tinggal bias out grup udah tinggal bias nikah udah tinggal bias tinggal udah hati apa kabar wkwkwk moga sekarang baik baik aja;E
hihu hihu apa kabar gin dulu aja lah alon alon asal lakon yoi gitu aja thanks for reading see you on the next update tco wssu;E
hi bang jek apa kabar;E
miss u too bebi apa kabar;E
arti gilir inisiatif nanyain kabar gimana udah dapet baru apa balika ama lama;E
bang kaidan apa kabar;E
life apa kabar bandung hihi aku lega rasa nonton tangis air mata walaupun dikit gapapalah penting sekarang aku hehe mungkin ikhlas mungkin aku lebih rela tco ldr;E
apa kabar juniordanyw;E
iyanih fitur ig gue bales chatnya dosen gue bgst gue kira nanya gue apa kabar anjinggg;E
cakap remaja perempuan buah warung a gua th th b lah iya yah asa tua bgt gua gua apa kabar ajg kalo th asa tua;E
au si rifan apa kabar min;E
hari chat sok tanya kabar trs ujung bilang kalo diri sombong wkwkwk lucu bgt malah ngatain dahal apa sombong sy klo km muncul lg dengn chat gin tuh jd inget kelakuanmuu aku mau hps kontak jg ntar dulu deh kyknya blm waktu tepat;E
wkwkwk bul apa kabar dah move on blm;E
apa kabar kak juniordanyw;E
huni kapal bluesy apa kabar tco egtu;E
emang kenapeee malah lebih dr mau bilang rakus apa kabar;E
apa kabar notaris ppat iship taun ga gaji;E
haloo apa kabar;E
assalamualaikum lambung apa kabar sehat;E
hi bang gavin apa kabar;E
neira apa kabar;E
hello fems apa kabar moga sehat yaa fvlog udah tayang nih fems vlog kali bakal nunjukin seru lama short trip loh wah ngapain aja langsung cek link bio gais tco;E
chat aja hallo apa kabar inget gue gak kan pikir siapa tau hati paling rasa kangen buat ngobrol lg yaudah coba rekam lg wkwk;E
sepatu sekarang mahal sekali apa kabar tahun depan;E
hai hai malam apa kabar yorobun longtime no see karna bulan ga hts tco cwmb;E
hi pejoy apa kabar;E
apa kabar kata sahabat ninggalin sahabat sendiri;E
teh cancii apa kabar;E
halo apakabar pacar heesung;E
apa kabar aku kangen kayak hari kemaren engga ngobrol;E
haloo apa kabar;E
hybe segala aja ditawarin gidle lah apa cari talent sendiri napa dah do sm susah buat jadi soloist apa kabar svt hybe aja jauhh lebih susah susah solo tco sdlu;E
biyu apa kabar;E
unpad apa kabar;E
salam kenal apa kabar;E
apakabar;E
aku baik kamu apa kabar;E
uas mu apa kabar;E
makin cakep aja apa kabar a;E
akhir okt gin bgt liat crush foto sm cewe masukin story judul laguny lover;N
hari sender ultah udah mau ganti hari gaada ucapin sender balon balon pas buka accpun gaada gkpapa sih agk sedih dikit gin hehehe;N
kalo diinget sedih dikit sksk tco tyjilpwpjj;N
cw tw alkohol alcohol im sorry for asking buat udah cukup umur legal do any of you have alcohol recommendations for beginner btw aku udah diizinin ortu buat minum titip;N
sffh mwu mwtwlan sama rant brisik;N
oktober sucks;N
hmm hmm hmm tco gymwmyghtb;N
busett indihome deh faghhh;N
wa cowoku ngomong gt kondisi aku kmrn pake baju kemeja sm rok panjang karna mamah tinggal jd aku ga mikirin baju aku gmna make gampang aja mungkin aku liat isi sedih si mungkin niat ngehibur aku baru hari tinggal mamah cuma cont;N
hidup kadang tak adil;N
hloe guise crush aku wibu aku kpopers bye dulu oppa korea ak mw pacar sama cwok enimku tlg dong gais kiat mnjdi cewek enim;N
sender join panitia trs tdi pas lgi encok nya ngurus tetiba ad kk panitia tamvan sender bru liat sihdia jrng kontribusi yh tdi brdiri dpn sender sngat pelukable pen back hug smbl blng kok bru liat kakak tamvan maybe jwb iyhsoalnya bru nyadar ad kmu;N
udahan sih acara kue sus nya takut banget mau tidur jadi was was;N
say you love me;N
pap chat terandom kalian sama doi dong xixi;N
ga salam kenal asal nanya gue siapa lha siapa ngechat gue tco hpcsbd;N
tugas kelompok hapus punya anggota kelompok beban banget taiii;N
mager bgt;N
leaked baru samsung series belakang polos banget tco isr;N
darlin your love language is blocked me right;N
icad siapa temen sender sering bkin status ginian orang kenal sender kaya baru keluar goa tco tho;N
nyata lama aku main sama cowok org ga ngasih tau klo udh punya pacar aku cerita cewek aku malah dikasiani dia ngomong gin aku jadi gatega aku sedih bgt hilang arah aku kudu gimana titip tco;N
aku baru ngetik terus send chat temenku online terus pas kirim terus centang last seennya temenku terus aku hapus chat on arti gak mau dichat;N
aku curiga kalo malem telpon sama aku telpon aja kali buat mastiin;N
buat anak kos boros hemat at the same time hikss dilema y n tco ppox;N
hi i just broke up hehe;N
sender pms parah sama telat tp tipe people pleaser badmood nya teken dalem mnta semangat kalian ga cape bgt rasa ken nang mulu sek cr tco hphlyk;N
guys sayap punya ayam tebrang ga terus kalian kalau jedot galon nang ga;N
tw mentioning mental illness sender cape bgt udah tahun lebih obat sampe sekarang rasa nemuin obat bener pas minum jangka panjang ato ga ngurangin dosis coba terus efek macem sering cemas kalo alam cont;N
ortuku jadi toxic gin sihh satu selingkuh satu chat mulu sm suami orang mau nang aku liat tp gabisa apa mnaa skripsi pgn minggat rasa kalo dah punya kerja;N
cepet banget udah november kalian ngerasa taun cepet banget ga si;N
kesel banget ga si kalo buka trending twitter isi nya ga sesuai;N
sedih ga sempet nang cape bgt gue hari rencana nang tunda besok tp abis tidur ma sedih yauda gitu aja curhatnya anw welcome novemberrr;N
pernah gak sih diem terus tiba tiba pikir do i like him that much asdfghjklqwertyuiop;N
ga punya pacar ga nyakitin tetep dengerin lagu galau brutal dispotify cung tco;N
kalo cowok udh blg maaf aku butuh sendiri dlu arti pgn sendiri ga mau hubung lg beneran ga si cuma alesan doang;N
bilang beban ga hasil sama ibu sendiri padahal ibu tau aku sampe skrg usaha aku tp kalau blm mau nerima kerja aku apa aku hak buat sedih kan;N
sender tdi bantuin tmn ngerjain tugas kuliah trs nyesek pas ngomong ko si ngerjain soal kan ajar kuliah ko ngerti syg bgt pinter ga kuliah udah cmn mau crta aja;N
adekku jam gin blg kak besok suruh buat tabung karton walaupun marah ttp aku jwb yaudah titip karton tetap dikerjain untung suruh cangkok biji jambu km kalau iy dah aku obrak abrik isi rumah;N
kadang ngasih sempat gaperlu soal malah lebih disepelein;N
ikan hiu makan tomat gak lah hiu kan ovovivivar;N
guys tolongg bgt dong marahin aku dong plss aku kmrn beli pc photocardd bias ku skrng jadi ken beli lagiii soal pc bias ku tuh aduhh lucu bgt ishhh aku gamau ngeluarin duit trs nyesel gmn yahh aduh pgn beli bgt marahin cont;N
dongg aaa;N
kirain kosong nyata already have a crush tco;N
beberapa bulan lalu aku deket naksir sama orang udah engga turut kalian mending confess sekarang engga biar lega aja sih aku mau lepasin aku udah ga pernah ngobrol irl chat satu departemen kampus;N
gila kamar sama wc sender tiba semua lampu mati kipas mati pas aku liat saklar lampu turun colok kipas lepas sendiri;N
awal putus sebenernya aku sayangg banget harap kamu ubah kangenn banget yaudah mungkin emang ga jodoh;N
wajar ga ken panggil cantik bilang cantik sama pacar sender panggil cantik sama pacar sender diitung jari alias jarang bgt;N
yeah i miss you tco luj yzoan;N
and letting go;N
when you love someone willing to learn about them and everything that excites them;N
kurang dr bulan lalu mohon balik ekwkw tp cepet banget skrg moveon ahhaha taheee;N
bm pop es bangettt padahal hujan deres udah nahan jam gak tidur;N
habis gaji diri sendiriii;N
im done mau coba akrab read doang gin nyerah aku aku cerewet makin jijik resah tco chuytegf;N
terkadang beberapa orang ngatur cara bahagia orang terima beda aja susah bener lama ga ngerugiin kalian;N
teman kuliah semester atas lucu cuyyy ytta;N
cari gas buat masak knp susah bgt dehhmmm kan suruh sampe dapet;N
